CUCLA LIZALICA    100kom/1#   FILIPOVIC,FILIP 001,CUCLA LIZALICA    100kom/1#   FILIPOVIC,8.00,FILIP 001,,100.00
KISOBRANCIC LIZA. 100kom/1#   FILIPOVIC,FILIP 002,KISOBRANCIC LIZA. 100kom/1#   FILIPOVIC,8.00,FILIP 002,,90.00
ANANAS U KOCKI 1/1,FLORIDA 001,ANANAS U KOCKI 1/1,370.00,FLORIDA 001,,jan.34
PAPAJA U KOCKI 1/1,FLORIDA 003,PAPAJA U KOCKI 1/1,420.00,FLORIDA 003,,0.80
BANANA CIPS  1.5 KG,FLORIDA 004,BANANA CIPS  1.5 KG,300.00,FLORIDA 004,,0.80
SIRUP OD IZDANKA BORA 410GR  1#/12 kom,FOODLAND 007,SIRUP OD IZDANKA BORA 410GR  1#/12 kom,205.00,FOODLAND 007,,2.00
BALSAMICO SIRCE 250ml 12/1#,FOODLAND 008,BALSAMICO SIRCE 250ml 12/1#,195.00,FOODLAND 008,,1.00
OVSENE MEKINJE 0.500g 24/1#,FORTIN 001,OVSENE MEKINJE 0.500g 24/1#,235.00,FORTIN 001,,3.00
SOK MRKVA 0.7L 100% -FRUCTAL  12KOM,FRUCTAL 01,SOK MRKVA 0.7L 100% -FRUCTAL  12KOM,178.00,FRUCTAL 01,,3.00
SOK CVEKLA 0.7L 100% -FRUCTAL  12KOM,FRUCTAL 02,SOK CVEKLA 0.7L 100% -FRUCTAL  12KOM,198.00,FRUCTAL 02,,2.00
NANA               F,FRUCTUS 001,NANA               F,38.00,FRUCTUS 001,,3.00
SIPAK              F,FRUCTUS 002,SIPAK              F,49.00,FRUCTUS 002,,3.00
HIBISKUS           F,FRUCTUS 003,HIBISKUS           F,49.00,FRUCTUS 003,,3.00
ZELENI             F,FRUCTUS 006,ZELENI             F,48.00,FRUCTUS 006,,3.00
LIPA               F,FRUCTUS 007,LIPA               F,46.00,FRUCTUS 007,,2.00
KANTARION          F,FRUCTUS 008,KANTARION          F,40.00,FRUCTUS 008,,2.00
UVA                F,FRUCTUS 009,UVA                F,46.00,FRUCTUS 009,,2.00
KOPRIVA            F,FRUCTUS 010,KOPRIVA            F,40.00,FRUCTUS 010,,2.00
DIVLJA TRESNJA     F,FRUCTUS 011,DIVLJA TRESNJA     F,72.00,FRUCTUS 011,,2.00
JAGODA             F,FRUCTUS 012,JAGODA             F,70.00,FRUCTUS 012,,3.00
MAJCINA DUSICA     F,FRUCTUS 018,MAJCINA DUSICA     F,40.00,FRUCTUS 018,,3.00
ZALFIJA            F,FRUCTUS 021,ZALFIJA            F,50.00,FRUCTUS 021,,2.00
ZELENI SA LIMUNOM  F,FRUCTUS 022,ZELENI SA LIMUNOM  F,61.00,FRUCTUS 022,,2.00
MALINA             F,FRUCTUS 024,MALINA             F,70.00,FRUCTUS 024,,2.00
FITNES             F,FRUCTUS 027,FITNES             F,100.00,FRUCTUS 027,,2.00
KAMILICA           F,FRUCTUS 028,KAMILICA           F,36.00,FRUCTUS 028,,2.00
ZELENI SA NARANDZOM    F,FRUCTUS 030,ZELENI SA NARANDZOM    F,58.00,FRUCTUS 030,,3.00
BRUSNICA           F,FRUCTUS 035,BRUSNICA           F,92.00,FRUCTUS 035,,3.00
SUMSKO VOCE      F,FRUCTUS 037,SUMSKO VOCE      F,92.00,FRUCTUS 037,,3.00
LANENE PLOCICE    5/1   BASKET,GB 001,LANENE PLOCICE    5/1   BASKET,390.00,GB 001,,feb.23
OVSENE PLOCICE    5/1   BASKET,GB 002,OVSENE PLOCICE    5/1   BASKET,390.00,GB 002,,apr.90
INT. STAPICI MAK  5/1   BASKET,GB 004,INT. STAPICI MAK  5/1   BASKET,380.00,GB 004,,apr.64
HELJDINE PLOCICE 5/1    BASKET,GB 007,HELJDINE PLOCICE 5/1    BASKET,390.00,GB 007,,apr.64
ROZEN KORA    20/#,GIBA01,ROZEN KORA    20/#,177.00,GIBA01,,0.00
PUSLICE 100g   40KOM/#,GIBA03,PUSLICE 100g   40KOM/#,55.00,GIBA03,,3.00
SUSENI MANGO,GOOD 002,SUSENI MANGO,650.00,GOOD 002,,0.80
KARAMELA KAKAO-1kg/4#-VURAL,GOOD 011,KARAMELA KAKAO-1kg/4#-VURAL,420.00,GOOD 011,,jan.46
KARAMELA MLECNA-1kg/4#-VURAL,GOOD 012,KARAMELA MLECNA-1kg/4#-VURAL,420.00,GOOD 012,,jan.71
